fisier,idx,sub,label,scor_propriu,scor_inainte,scor_inapoi,scor_max,best_idx
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,1,1,propriu,15,9,,15,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,2,1,propriu,10,4,8,10,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,3,1,propriu,15,1,3,15,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,4,1,propriu,15,0,0,15,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,5,1,propriu,8,2,2,8,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,6,1,propriu,24,4,3,24,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,7,1,propriu,13,2,0,13,7
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia1-documente-formatare.html,8,1,propriu,25,,5,25,8
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,1,1,propriu,18,13,,18,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,2,1,propriu,21,11,12,21,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,3,1,decalat_inapoi,9,5,14,14,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,4,1,propriu,19,9,7,19,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,5,1,propriu,19,14,7,19,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,6,1,propriu,23,15,15,23,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia2-stiluri-sabloane.html,7,1,altul,8,,5,17,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,1,1,propriu,14,6,,14,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,2,1,decalat_inapoi,6,4,10,10,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,3,1,propriu,18,3,7,18,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,4,1,decalat_inapoi,5,2,7,7,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,5,1,propriu,21,13,4,21,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m1-procesare-text\lectia3-cv-portofoliu.html,6,1,propriu,17,,15,17,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,1,1,propriu,11,1,,11,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,2,1,propriu,16,2,2,16,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,3,1,propriu,11,4,4,11,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,4,1,propriu,11,6,4,11,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,5,1,propriu,18,4,8,18,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia1-tabel-formule.html,6,1,propriu,11,,7,11,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,1,1,propriu,9,3,,9,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,2,1,propriu,12,2,4,12,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,3,1,propriu,12,6,3,12,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,4,1,propriu,18,5,5,18,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,5,1,propriu,13,0,1,13,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,6,1,propriu,22,8,4,22,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia2-functii-diagrame.html,7,1,propriu,16,,6,16,7
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,1,1,propriu,17,6,,17,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,2,1,propriu,9,6,6,9,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,3,1,propriu,12,5,4,12,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,4,1,propriu,21,5,8,21,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,5,1,propriu,16,8,6,16,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m2-calcul-tabelar\lectia3-evidenta-buget.html,6,1,altul,5,,2,11,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,1,1,propriu,14,3,,14,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,2,1,propriu,20,5,1,20,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,3,1,propriu,13,4,7,13,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,4,1,propriu,22,3,6,22,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,5,1,propriu,10,9,3,10,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia1-editor-straturi.html,6,1,propriu,15,,7,15,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,1,1,propriu,13,6,,13,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,2,1,propriu,15,6,6,15,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,3,1,propriu,11,4,6,11,3
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,4,1,propriu,13,2,3,13,4
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,5,1,propriu,11,5,0,11,5
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,6,1,propriu,14,10,8,14,6
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia2-ajustari-corectii.html,7,1,propriu,12,,10,12,7
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia3-export-pregatire.html,1,1,propriu,16,9,,16,1
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia3-export-pregatire.html,2,1,propriu,15,8,4,15,2
C:\00\Projects\LearningHub\content\liceu\artistic\cls10\m3-editare-imagine\lectia3-export-pregatire.html,3,1,altul,10,6,3,11,5
