======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 16:00:06
======================================================================

  VERDICTS:
    [WARN] NEEDS_WORK: 18
    [FAIL] FAILED: 93

  TOTAL CHECKS: 2775
    Passed:  1694
    Failed:  193
    Pending: 888

  TOP FAILURES:
     95x  1.13 Romanian diacritics present
     93x  1.2 Schema fields present
      3x  1.7 Prerequisites exist
      1x  5.4 No answer position bias
      1x  5.8 Question type variety

  PER-LESSON:
    [WARN] V-M1-L01: 16/25 (1 fail, 8 pending)
    [WARN] V-M1-L02: 16/25 (1 fail, 8 pending)
    [WARN] V-M1-L03: 16/25 (1 fail, 8 pending)
    [WARN] V-M1-L04: 16/25 (1 fail, 8 pending)
    [FAIL] V-M1-L05: 15/25 (2 fail, 8 pending)
    [FAIL] V-M1-L06: 15/25 (2 fail, 8 pending)
    [FAIL] V-M1-L07: 15/25 (2 fail, 8 pending)
    [WARN] V-M2-L01: 16/25 (1 fail, 8 pending)
    [FAIL] V-M2-L02: 15/25 (2 fail, 8 pending)
    [FAIL] V-M2-L03: 15/25 (2 fail, 8 pending)
    [FAIL] V-M2-L04: 16/25 (1 fail, 8 pending)
    [FAIL] V-M2-L05: 16/25 (1 fail, 8 pending)
    [FAIL] V-M2-L06: 15/25 (2 fail, 8 pending)
    [FAIL] V-M2-L07: 15/25 (2 fail, 8 pending)
    [WARN] V-M3-L01: 16/25 (1 fail, 8 pending)
    [FAIL] V-M3-L02: 15/25 (2 fail, 8 pending)
    [FAIL] V-M3-L03: 15/25 (2 fail, 8 pending)
    [FAIL] V-M3-L04: 15/25 (2 fail, 8 pending)
    [FAIL] V-M3-L05: 15/25 (2 fail, 8 pending)
    [FAIL] V-M3-L06: 15/25 (2 fail, 8 pending)
    [FAIL] V-M3-L07: 15/25 (2 fail, 8 pending)
    [WARN] V-M4-L01: 16/25 (1 fail, 8 pending)
    [FAIL] V-M4-L02: 15/25 (2 fail, 8 pending)
    [FAIL] V-M4-L03: 16/25 (1 fail, 8 pending)
    [FAIL] V-M4-L04: 16/25 (1 fail, 8 pending)
    [FAIL] V-M4-L05: 15/25 (2 fail, 8 pending)
    [FAIL] V-M4-L06: 15/25 (2 fail, 8 pending)
    [FAIL] V-M4-L07: 13/25 (4 fail, 8 pending)
    [FAIL] V-M5-L01: 14/25 (3 fail, 8 pending)
    [FAIL] V-M5-L02: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L03: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L04: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L05: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L06: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L07: 15/25 (2 fail, 8 pending)
    [FAIL] V-M5-L08: 15/25 (2 fail, 8 pending)
    [WARN] VI-M1-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M1-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M1-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M1-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M1-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M1-L06: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M1-L07: 15/25 (2 fail, 8 pending)
    [WARN] VI-M2-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L02: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L03: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L04: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L05: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L06: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M2-L07: 16/25 (1 fail, 8 pending)
    [WARN] VI-M3-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M3-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M3-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M3-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M3-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M3-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M3-L07: 15/25 (2 fail, 8 pending)
    [WARN] VI-M4-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M4-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M4-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M4-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M4-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M4-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M4-L07: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L01: 14/25 (3 fail, 8 pending)
    [FAIL] VI-M5-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VI-M5-L07: 16/25 (1 fail, 8 pending)
    [FAIL] VI-M5-L08: 15/25 (2 fail, 8 pending)
    [WARN] VII-M1-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M1-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M1-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M1-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M1-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M1-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M1-L07: 15/25 (2 fail, 8 pending)
    [WARN] VII-M2-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M2-L02: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M2-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M2-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M2-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M2-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M2-L07: 15/25 (2 fail, 8 pending)
    [WARN] VII-M3-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M3-L02: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M3-L03: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M3-L04: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M3-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M3-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M3-L07: 15/25 (2 fail, 8 pending)
    [WARN] VII-M4-L01: 16/25 (1 fail, 8 pending)
    [FAIL] VII-M4-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M4-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M4-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M4-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M4-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M4-L07: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L01: 14/25 (3 fail, 8 pending)
    [FAIL] VII-M5-L02: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L03: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L04: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L05: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L06: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L07: 15/25 (2 fail, 8 pending)
    [FAIL] VII-M5-L08: 15/25 (2 fail, 8 pending)
    [WARN] VIII-M1-L01: 16/25 (1 fail, 8 pending)
    [WARN] VIII-M4-L01: 16/25 (1 fail, 8 pending)
    [WARN] VIII-M5-L01: 16/25 (1 fail, 8 pending)

======================================================================
