======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 17:37:32
======================================================================

  VERDICTS:
    [WARN] NEEDS_WORK: 111

  TOTAL CHECKS: 6639
    Passed:  2476
    Failed:  442
    Pending: 3721

  TOP FAILURES:
    111x  2.1 Competency codes valid
    111x  2.6 No scope creep
     92x  2.8 Valid curriculum tools
     85x  2.3 Topic in module scope
     21x  3.11 No placeholder text
     18x  4.8 Wrap-up/reflection exists
      2x  3.9 Safety/ethics content
      1x  5.4 No answer position bias
      1x  5.8 Question type variety

  PER-LESSON:
    [WARN] V-M1-L01: 25/60 (3 fail, 32 pending)
    [WARN] V-M1-L02: 25/60 (3 fail, 32 pending)
    [WARN] V-M1-L03: 25/60 (3 fail, 32 pending)
    [WARN] V-M1-L04: 25/60 (3 fail, 32 pending)
    [WARN] V-M1-L05: 22/60 (4 fail, 34 pending)
    [WARN] V-M1-L06: 22/60 (4 fail, 34 pending)
    [WARN] V-M1-L07: 23/60 (3 fail, 34 pending)
    [WARN] V-M2-L01: 23/60 (5 fail, 32 pending)
    [WARN] V-M2-L02: 23/60 (3 fail, 34 pending)
    [WARN] V-M2-L03: 21/60 (5 fail, 34 pending)
    [WARN] V-M2-L04: 22/60 (4 fail, 34 pending)
    [WARN] V-M2-L05: 22/60 (4 fail, 34 pending)
    [WARN] V-M2-L06: 22/60 (4 fail, 34 pending)
    [WARN] V-M2-L07: 23/60 (3 fail, 34 pending)
    [WARN] V-M3-L01: 24/60 (4 fail, 32 pending)
    [WARN] V-M3-L02: 22/60 (4 fail, 34 pending)
    [WARN] V-M3-L03: 22/60 (4 fail, 34 pending)
    [WARN] V-M3-L04: 22/60 (4 fail, 34 pending)
    [WARN] V-M3-L05: 22/60 (4 fail, 34 pending)
    [WARN] V-M3-L06: 22/60 (4 fail, 34 pending)
    [WARN] V-M3-L07: 23/60 (3 fail, 34 pending)
    [WARN] V-M4-L01: 25/60 (3 fail, 32 pending)
    [WARN] V-M4-L02: 22/60 (4 fail, 34 pending)
    [WARN] V-M4-L03: 22/60 (4 fail, 34 pending)
    [WARN] V-M4-L04: 22/60 (4 fail, 34 pending)
    [WARN] V-M4-L05: 21/60 (5 fail, 34 pending)
    [WARN] V-M4-L06: 22/60 (4 fail, 34 pending)
    [WARN] V-M4-L07: 19/60 (7 fail, 34 pending)
    [WARN] V-M5-L01: 22/60 (4 fail, 34 pending)
    [WARN] V-M5-L02: 22/60 (4 fail, 34 pending)
    [WARN] V-M5-L03: 21/60 (5 fail, 34 pending)
    [WARN] V-M5-L04: 22/60 (4 fail, 34 pending)
    [WARN] V-M5-L05: 21/60 (5 fail, 34 pending)
    [WARN] V-M5-L06: 22/60 (4 fail, 34 pending)
    [WARN] V-M5-L07: 22/60 (4 fail, 34 pending)
    [WARN] V-M5-L08: 23/60 (4 fail, 33 pending)
    [WARN] VI-M1-L01: 24/60 (4 fail, 32 pending)
    [WARN] VI-M1-L02: 23/60 (3 fail, 34 pending)
    [WARN] VI-M1-L03: 22/60 (4 fail, 34 pending)
    [WARN] VI-M1-L04: 21/60 (5 fail, 34 pending)
    [WARN] VI-M1-L05: 23/60 (3 fail, 34 pending)
    [WARN] VI-M1-L06: 22/60 (4 fail, 34 pending)
    [WARN] VI-M1-L07: 23/60 (3 fail, 34 pending)
    [WARN] VI-M2-L01: 24/60 (4 fail, 32 pending)
    [WARN] VI-M2-L02: 22/60 (4 fail, 34 pending)
    [WARN] VI-M2-L03: 22/60 (4 fail, 34 pending)
    [WARN] VI-M2-L04: 22/60 (4 fail, 34 pending)
    [WARN] VI-M2-L05: 22/60 (4 fail, 34 pending)
    [WARN] VI-M2-L06: 22/60 (4 fail, 34 pending)
    [WARN] VI-M2-L07: 22/60 (4 fail, 34 pending)
    [WARN] VI-M3-L01: 24/60 (4 fail, 32 pending)
    [WARN] VI-M3-L02: 21/60 (5 fail, 34 pending)
    [WARN] VI-M3-L03: 21/60 (5 fail, 34 pending)
    [WARN] VI-M3-L04: 22/60 (4 fail, 34 pending)
    [WARN] VI-M3-L05: 22/60 (4 fail, 34 pending)
    [WARN] VI-M3-L06: 22/60 (4 fail, 34 pending)
    [WARN] VI-M3-L07: 24/60 (4 fail, 32 pending)
    [WARN] VI-M4-L01: 23/60 (5 fail, 32 pending)
    [WARN] VI-M4-L02: 22/60 (4 fail, 34 pending)
    [WARN] VI-M4-L03: 22/60 (4 fail, 34 pending)
    [WARN] VI-M4-L04: 22/60 (4 fail, 34 pending)
    [WARN] VI-M4-L05: 22/60 (4 fail, 34 pending)
    [WARN] VI-M4-L06: 22/60 (4 fail, 34 pending)
    [WARN] VI-M4-L07: 23/60 (3 fail, 34 pending)
    [WARN] VI-M5-L01: 23/60 (3 fail, 34 pending)
    [WARN] VI-M5-L02: 22/60 (4 fail, 34 pending)
    [WARN] VI-M5-L03: 22/60 (4 fail, 34 pending)
    [WARN] VI-M5-L04: 22/60 (4 fail, 34 pending)
    [WARN] VI-M5-L05: 23/60 (3 fail, 34 pending)
    [WARN] VI-M5-L06: 22/60 (4 fail, 34 pending)
    [WARN] VI-M5-L07: 22/60 (4 fail, 34 pending)
    [WARN] VI-M5-L08: 23/60 (3 fail, 34 pending)
    [WARN] VII-M1-L01: 24/60 (4 fail, 32 pending)
    [WARN] VII-M1-L02: 22/60 (4 fail, 34 pending)
    [WARN] VII-M1-L03: 22/60 (4 fail, 34 pending)
    [WARN] VII-M1-L04: 23/60 (3 fail, 34 pending)
    [WARN] VII-M1-L05: 22/60 (4 fail, 34 pending)
    [WARN] VII-M1-L06: 21/60 (5 fail, 34 pending)
    [WARN] VII-M1-L07: 23/60 (3 fail, 34 pending)
    [WARN] VII-M2-L01: 24/60 (3 fail, 33 pending)
    [WARN] VII-M2-L02: 20/60 (5 fail, 35 pending)
    [WARN] VII-M2-L03: 20/60 (5 fail, 35 pending)
    [WARN] VII-M2-L04: 20/60 (5 fail, 35 pending)
    [WARN] VII-M2-L05: 20/60 (5 fail, 35 pending)
    [WARN] VII-M2-L06: 21/60 (4 fail, 35 pending)
    [WARN] VII-M2-L07: 21/60 (4 fail, 35 pending)
    [WARN] VII-M3-L01: 24/60 (4 fail, 32 pending)
    [WARN] VII-M3-L02: 22/60 (4 fail, 34 pending)
    [WARN] VII-M3-L03: 21/60 (5 fail, 34 pending)
    [WARN] VII-M3-L04: 21/60 (5 fail, 34 pending)
    [WARN] VII-M3-L05: 21/60 (5 fail, 34 pending)
    [WARN] VII-M3-L06: 22/60 (4 fail, 34 pending)
    [WARN] VII-M3-L07: 23/60 (3 fail, 34 pending)
    [WARN] VII-M4-L01: 24/60 (4 fail, 32 pending)
    [WARN] VII-M4-L02: 22/60 (4 fail, 34 pending)
    [WARN] VII-M4-L03: 22/60 (4 fail, 34 pending)
    [WARN] VII-M4-L04: 22/60 (4 fail, 34 pending)
    [WARN] VII-M4-L05: 21/60 (5 fail, 34 pending)
    [WARN] VII-M4-L06: 21/60 (5 fail, 34 pending)
    [WARN] VII-M4-L07: 23/60 (3 fail, 34 pending)
    [WARN] VII-M5-L01: 22/60 (4 fail, 34 pending)
    [WARN] VII-M5-L02: 22/60 (4 fail, 34 pending)
    [WARN] VII-M5-L03: 23/60 (3 fail, 34 pending)
    [WARN] VII-M5-L04: 23/60 (3 fail, 34 pending)
    [WARN] VII-M5-L05: 22/60 (4 fail, 34 pending)
    [WARN] VII-M5-L06: 22/60 (4 fail, 34 pending)
    [WARN] VII-M5-L07: 22/60 (4 fail, 34 pending)
    [WARN] VII-M5-L08: 22/60 (4 fail, 34 pending)
    [WARN] VIII-M1-L01: 25/53 (3 fail, 25 pending)
    [WARN] VIII-M4-L01: 24/53 (4 fail, 25 pending)
    [WARN] VIII-M5-L01: 24/53 (4 fail, 25 pending)

======================================================================
