======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 18:27:23
======================================================================

  VERDICTS:
    [PARTIAL] PARTIAL_PASS: 98
    [WARN] NEEDS_WORK: 13

  TOTAL CHECKS: 8082
    Passed:  4328
    Failed:  13
    Pending: 3741

  TOP FAILURES:
     13x  2.8 Valid curriculum tools

  PER-LESSON:
    [PARTIAL] V-M1-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M1-L02: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M1-L03: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M1-L04: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M1-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M1-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M1-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L01: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M2-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M3-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M3-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] V-M4-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M4-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L01: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] V-M5-L08: 40/73 (0 fail, 33 pending)
    [PARTIAL] VI-M1-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VI-M1-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M1-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M1-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M1-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M1-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M1-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VI-M2-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M2-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VI-M3-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M3-L07: 41/73 (0 fail, 32 pending)
    [PARTIAL] VI-M4-L01: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M4-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M5-L01: 39/73 (0 fail, 34 pending)
    [PARTIAL] VI-M5-L02: 39/73 (0 fail, 34 pending)
    [WARN] VI-M5-L03: 38/73 (1 fail, 34 pending)
    [WARN] VI-M5-L04: 38/73 (1 fail, 34 pending)
    [PARTIAL] VI-M5-L05: 39/73 (0 fail, 34 pending)
    [WARN] VI-M5-L06: 38/73 (1 fail, 34 pending)
    [WARN] VI-M5-L07: 38/73 (1 fail, 34 pending)
    [WARN] VI-M5-L08: 38/73 (1 fail, 34 pending)
    [PARTIAL] VII-M1-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VII-M1-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M1-L03: 39/73 (0 fail, 34 pending)
    [WARN] VII-M1-L04: 38/73 (1 fail, 34 pending)
    [WARN] VII-M1-L05: 38/73 (1 fail, 34 pending)
    [WARN] VII-M1-L06: 38/73 (1 fail, 34 pending)
    [WARN] VII-M1-L07: 38/73 (1 fail, 34 pending)
    [PARTIAL] VII-M2-L01: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M2-L02: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M2-L03: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M2-L04: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M2-L05: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M2-L06: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M2-L07: 38/73 (0 fail, 35 pending)
    [PARTIAL] VII-M3-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VII-M3-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M3-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M3-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M3-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M3-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M3-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L01: 40/73 (0 fail, 33 pending)
    [PARTIAL] VII-M4-L02: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L03: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L04: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L05: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L06: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M4-L07: 39/73 (0 fail, 34 pending)
    [PARTIAL] VII-M5-L01: 39/73 (0 fail, 34 pending)
    [WARN] VII-M5-L02: 38/73 (1 fail, 34 pending)
    [PARTIAL] VII-M5-L03: 39/73 (0 fail, 34 pending)
    [WARN] VII-M5-L04: 38/73 (1 fail, 34 pending)
    [PARTIAL] VII-M5-L05: 39/73 (0 fail, 34 pending)
    [WARN] VII-M5-L06: 38/73 (1 fail, 34 pending)
    [WARN] VII-M5-L07: 38/73 (1 fail, 34 pending)
    [PARTIAL] VII-M5-L08: 39/73 (0 fail, 34 pending)
    [PARTIAL] VIII-M1-L01: 40/66 (0 fail, 26 pending)
    [PARTIAL] VIII-M4-L01: 40/66 (0 fail, 26 pending)
    [PARTIAL] VIII-M5-L01: 40/66 (0 fail, 26 pending)

======================================================================
