======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 19:55:30
======================================================================

  VERDICTS:
    [PASS] CERTIFIED: 3
    [WARN] NEEDS_WORK: 45
    [FAIL] FAILED: 63

  TOTAL CHECKS: 8082
    Passed:  7862
    Failed:  220
    Pending: 0

  TOP FAILURES:
     88x  3.2 Age-appropriate language
     64x  4.4 Active learning ratio >= 60%
     63x  5.11 Model answers correct
      5x  5.12 No duplicate questions

  PER-LESSON:
    [FAIL] V-M1-L01: 71/73 (2 fail, 0 pending)
    [FAIL] V-M1-L02: 71/73 (2 fail, 0 pending)
    [FAIL] V-M1-L03: 71/73 (2 fail, 0 pending)
    [FAIL] V-M1-L04: 72/73 (1 fail, 0 pending)
    [WARN] V-M1-L05: 72/73 (1 fail, 0 pending)
    [WARN] V-M1-L06: 72/73 (1 fail, 0 pending)
    [FAIL] V-M1-L07: 70/73 (3 fail, 0 pending)
    [FAIL] V-M2-L01: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L02: 72/73 (1 fail, 0 pending)
    [PASS] V-M2-L03: 73/73 (0 fail, 0 pending)
    [WARN] V-M2-L04: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L05: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L06: 71/73 (2 fail, 0 pending)
    [PASS] V-M2-L07: 73/73 (0 fail, 0 pending)
    [FAIL] V-M3-L01: 71/73 (2 fail, 0 pending)
    [WARN] V-M3-L02: 71/73 (2 fail, 0 pending)
    [FAIL] V-M3-L03: 70/73 (3 fail, 0 pending)
    [FAIL] V-M3-L04: 70/73 (3 fail, 0 pending)
    [FAIL] V-M3-L05: 70/73 (3 fail, 0 pending)
    [WARN] V-M3-L06: 71/73 (2 fail, 0 pending)
    [FAIL] V-M3-L07: 70/73 (3 fail, 0 pending)
    [FAIL] V-M4-L01: 71/73 (2 fail, 0 pending)
    [FAIL] V-M4-L02: 70/73 (3 fail, 0 pending)
    [WARN] V-M4-L03: 71/73 (2 fail, 0 pending)
    [WARN] V-M4-L04: 72/73 (1 fail, 0 pending)
    [FAIL] V-M4-L05: 71/73 (2 fail, 0 pending)
    [WARN] V-M4-L06: 71/73 (2 fail, 0 pending)
    [FAIL] V-M4-L07: 71/73 (2 fail, 0 pending)
