======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 19:58:45
======================================================================

  VERDICTS:
    [PASS] CERTIFIED: 21
    [WARN] NEEDS_WORK: 69
    [FAIL] FAILED: 21

  TOTAL CHECKS: 8082
    Passed:  7966
    Failed:  116
    Pending: 0

  TOP FAILURES:
     90x  4.4 Active learning ratio >= 60%
     21x  5.11 Model answers correct
      5x  5.12 No duplicate questions

  PER-LESSON:
    [PASS] V-M1-L01: 73/73 (0 fail, 0 pending)
    [PASS] V-M1-L02: 73/73 (0 fail, 0 pending)
    [PASS] V-M1-L03: 73/73 (0 fail, 0 pending)
    [PASS] V-M1-L04: 73/73 (0 fail, 0 pending)
    [WARN] V-M1-L05: 72/73 (1 fail, 0 pending)
    [WARN] V-M1-L06: 72/73 (1 fail, 0 pending)
    [WARN] V-M1-L07: 72/73 (1 fail, 0 pending)
    [PASS] V-M2-L01: 73/73 (0 fail, 0 pending)
    [WARN] V-M2-L02: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L03: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L04: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L05: 72/73 (1 fail, 0 pending)
    [WARN] V-M2-L06: 72/73 (1 fail, 0 pending)
    [PASS] V-M2-L07: 73/73 (0 fail, 0 pending)
    [PASS] V-M3-L01: 73/73 (0 fail, 0 pending)
    [WARN] V-M3-L02: 72/73 (1 fail, 0 pending)
    [FAIL] V-M3-L03: 71/73 (2 fail, 0 pending)
    [FAIL] V-M3-L04: 71/73 (2 fail, 0 pending)
    [FAIL] V-M3-L05: 71/73 (2 fail, 0 pending)
    [WARN] V-M3-L06: 72/73 (1 fail, 0 pending)
    [WARN] V-M3-L07: 72/73 (1 fail, 0 pending)
    [PASS] V-M4-L01: 73/73 (0 fail, 0 pending)
    [FAIL] V-M4-L02: 71/73 (2 fail, 0 pending)
    [WARN] V-M4-L03: 72/73 (1 fail, 0 pending)
    [WARN] V-M4-L04: 72/73 (1 fail, 0 pending)
    [FAIL] V-M4-L05: 71/73 (2 fail, 0 pending)
    [WARN] V-M4-L06: 72/73 (1 fail, 0 pending)
    [FAIL] V-M4-L07: 71/73 (2 fail, 0 pending)
    [WARN] V-M5-L01: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L02: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L03: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L04: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L05: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L06: 72/73 (1 fail, 0 pending)
    [WARN] V-M5-L07: 72/73 (1 fail, 0 pending)
    [PASS] V-M5-L08: 73/73 (0 fail, 0 pending)
    [PASS] VI-M1-L01: 73/73 (0 fail, 0 pending)
    [WARN] VI-M1-L02: 72/73 (1 fail, 0 pending)
    [WARN] VI-M1-L03: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M1-L04: 71/73 (2 fail, 0 pending)
    [WARN] VI-M1-L05: 72/73 (1 fail, 0 pending)
    [WARN] VI-M1-L06: 72/73 (1 fail, 0 pending)
    [WARN] VI-M1-L07: 71/73 (2 fail, 0 pending)
    [PASS] VI-M2-L01: 73/73 (0 fail, 0 pending)
    [WARN] VI-M2-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M2-L03: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M2-L04: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M2-L05: 71/73 (2 fail, 0 pending)
    [WARN] VI-M2-L06: 72/73 (1 fail, 0 pending)
    [WARN] VI-M2-L07: 71/73 (2 fail, 0 pending)
    [PASS] VI-M3-L01: 73/73 (0 fail, 0 pending)
    [WARN] VI-M3-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M3-L03: 71/73 (2 fail, 0 pending)
    [WARN] VI-M3-L04: 72/73 (1 fail, 0 pending)
    [WARN] VI-M3-L05: 72/73 (1 fail, 0 pending)
    [WARN] VI-M3-L06: 72/73 (1 fail, 0 pending)
    [PASS] VI-M3-L07: 73/73 (0 fail, 0 pending)
    [PASS] VI-M4-L01: 73/73 (0 fail, 0 pending)
    [WARN] VI-M4-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M4-L03: 71/73 (2 fail, 0 pending)
    [WARN] VI-M4-L04: 72/73 (1 fail, 0 pending)
    [WARN] VI-M4-L05: 72/73 (1 fail, 0 pending)
    [WARN] VI-M4-L06: 72/73 (1 fail, 0 pending)
    [WARN] VI-M4-L07: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L01: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L02: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L03: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L04: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L05: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L06: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L07: 72/73 (1 fail, 0 pending)
    [WARN] VI-M5-L08: 72/73 (1 fail, 0 pending)
    [PASS] VII-M1-L01: 73/73 (0 fail, 0 pending)
    [WARN] VII-M1-L02: 72/73 (1 fail, 0 pending)
    [WARN] VII-M1-L03: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M1-L04: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M1-L05: 71/73 (2 fail, 0 pending)
    [WARN] VII-M1-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M1-L07: 72/73 (1 fail, 0 pending)
    [PASS] VII-M2-L01: 73/73 (0 fail, 0 pending)
    [WARN] VII-M2-L02: 72/73 (1 fail, 0 pending)
    [WARN] VII-M2-L03: 72/73 (1 fail, 0 pending)
    [WARN] VII-M2-L04: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M2-L05: 71/73 (2 fail, 0 pending)
    [WARN] VII-M2-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M2-L07: 72/73 (1 fail, 0 pending)
    [PASS] VII-M3-L01: 73/73 (0 fail, 0 pending)
    [FAIL] VII-M3-L02: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L03: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L04: 71/73 (2 fail, 0 pending)
    [WARN] VII-M3-L05: 72/73 (1 fail, 0 pending)
    [WARN] VII-M3-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M3-L07: 72/73 (1 fail, 0 pending)
    [PASS] VII-M4-L01: 73/73 (0 fail, 0 pending)
    [WARN] VII-M4-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M4-L03: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M4-L04: 71/73 (2 fail, 0 pending)
    [WARN] VII-M4-L05: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M4-L06: 71/73 (2 fail, 0 pending)
    [WARN] VII-M4-L07: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L01: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L02: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L03: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L04: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L05: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L07: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L08: 72/73 (1 fail, 0 pending)
    [PASS] VIII-M1-L01: 66/66 (0 fail, 0 pending)
    [PASS] VIII-M4-L01: 66/66 (0 fail, 0 pending)
    [PASS] VIII-M5-L01: 66/66 (0 fail, 0 pending)

======================================================================
